bank,app_name,review_text,rating,review_date,source
CBE Mobile Banking,Commercial Bank of Ethiopia,incredible,5,2026-05-14 10:53:56,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,best app for financial sector,5,2026-05-14 05:44:01,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,it's a good application,5,2026-05-13 20:28:58,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,thank you cbe,5,2026-05-13 17:16:37,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,is good,5,2026-05-13 16:18:45,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,wow,5,2026-05-13 12:19:17,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,Good application,2,2026-05-13 11:27:52,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,"Nice, but I can't get some recently transactions. please try to keep all history scrolling full visibility done.",5,2026-05-13 11:21:48,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,Very Secure but very poor interface and limited history service. The new colorful version is worst. Visibility and contrast are low. It is just my idea.,1,2026-05-13 11:11:25,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,very nice 100%,5,2026-05-13 05:12:17,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,good,5,2026-05-12 19:02:00,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,Good to use,5,2026-05-12 12:23:58,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,cbe,1,2026-05-12 06:18:40,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,Cbe,4,2026-05-11 17:21:59,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,best and secured,5,2026-05-11 11:04:31,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,best,5,2026-05-11 09:22:25,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,good,5,2026-05-10 17:46:00,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,why is my transaction fee hidden? Why doesn't the app show some of the transaction fees before. eg vat 15% show it togather before confirmation not after it feels like a scam.,3,2026-05-10 16:13:18,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,Gal✅😶‍🌫️,1,2026-05-10 15:07:21,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,posetive,5,2026-05-10 07:13:20,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,እ. በ. ጥ. ነው,5,2026-05-10 00:40:02,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,good,5,2026-05-09 23:46:18,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,It is usefull app,5,2026-05-09 18:14:32,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,this app is so functional for airtime for wallet and,5,2026-05-09 15:02:46,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,very amazing app,5,2026-05-09 14:05:08,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,excellent service,5,2026-05-09 13:57:37,Google Play
CBE Mobile Banking,Commercial Bank of Ethiopia,There is a a problem when updating the app,3,2026-05-09 13:19:15,Google Play
