app_name,bank,review,rating,date,source
Commercial Bank of Ethiopia,CBE Mobile Banking,incredible,5,2026-05-14,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,best app for financial sector,5,2026-05-14,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,it's a good application,5,2026-05-13,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,thank you cbe,5,2026-05-13,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,is good,5,2026-05-13,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,wow,5,2026-05-13,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,Good application,2,2026-05-13,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,"Nice, but I can't get some recently transactions. please try to keep all history scrolling full visibility done.",5,2026-05-13,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,Very Secure but very poor interface and limited history service. The new colorful version is worst. Visibility and contrast are low. It is just my idea.,1,2026-05-13,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,very nice 100%,5,2026-05-13,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,good,5,2026-05-12,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,Good to use,5,2026-05-12,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,cbe,1,2026-05-12,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,Cbe,4,2026-05-11,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,best and secured,5,2026-05-11,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,best,5,2026-05-11,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,good,5,2026-05-10,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,why is my transaction fee hidden? Why doesn't the app show some of the transaction fees before. eg vat 15% show it togather before confirmation not after it feels like a scam.,3,2026-05-10,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,Gal✅😶‍🌫️,1,2026-05-10,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,posetive,5,2026-05-10,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,እ. በ. ጥ. ነው,5,2026-05-10,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,good,5,2026-05-09,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,It is usefull app,5,2026-05-09,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,this app is so functional for airtime for wallet and,5,2026-05-09,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,very amazing app,5,2026-05-09,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,excellent service,5,2026-05-09,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,There is a a problem when updating the app,3,2026-05-09,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,Cbe,3,2026-05-09,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,smart app,4,2026-05-08,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,best,5,2026-05-08,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,"Internet Based mobile app for CBEBirr A Internet Based mobile app for CBEBirr. With the new Internet based CBEBirr Mobile App you can make every operations applicable via the USSD version of CBEBirr. This app version is the latest version branded as CBEBirr Plus, CBEBirr+, CBE Birr +, or CBE Birr plus.",1,2026-05-08,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,CBE it's my excellent choice,5,2026-05-08,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,Good,5,2026-05-08,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,fast and time saving...,5,2026-05-08,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,yesisgood,5,2026-05-07,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,so good,5,2026-05-07,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,"The app is getting worse and worse after every ""update"". The UI is inconsistent, you haven't fixed the issue with Mpesa wallet transfer ( the ""begin 0, end 1, length 0"" error after ever transfer attempt) ; now the tellbirr transfer raises ""Bucket override O-10094"" error. Test your work FULLY before release.",3,2026-05-07,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,iam happy excellent app,5,2026-05-07,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,is not work properly !!,3,2026-05-06,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,አሪፍ አፕ ነው ገራሚ ሁኖ አግኝቼዋለሁ,5,2026-05-06,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,When I update this app there isn't working,1,2026-05-06,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,thanks you so much 👍 okay I am going to be like in,5,2026-05-05,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,Best ever,1,2026-05-05,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,features በጣም ወድጄዋለሁ ነገር ግን አንድ ችግር አይቼዋለሁ ።APPU DELETE በሆነ ጊዜ ቅርንጫፍ ማመላለሱና MB APPLICATION FORMAT ላይ በየጊዜው መፈረሙ አንድ ለባንኩ ወጪ ነው ሁለት ለደንበኞች Inconvenience ይፈጥራል አስተካክሉ,4,2026-05-05,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,best,5,2026-05-05,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,goood g,5,2026-05-05,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,I like so much,5,2026-05-05,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,This app has never been efficient at all,1,2026-05-04,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,nice app.,5,2026-05-04,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,"While the option to create or cancel standing orders has been added, it is not functional. Similarly, adding a new beneficiary is also not working. Please fix.",2,2026-05-04,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,Wonderful App ❤️❤️❤️ I love it,5,2026-05-04,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,i like it,5,2026-05-04,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,best,4,2026-05-04,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,vary good app,5,2026-05-04,Google Play
Commercial Bank of Ethiopia,CBE Mobile Banking,good,5,2026-05-04,Google Play
